iter	Passed	Remaining
0	658	98083
1	1293	95708
2	1893	92776
3	2464	89950
4	3030	87876
5	3595	86292
6	4155	84881
7	4697	83382
8	5237	82054
9	5741	80374
10	6283	79394
11	6865	78950
12	7418	78182
13	7926	77001
14	8467	76206
15	8996	75342
16	9536	74609
17	10059	73773
18	10562	72824
19	11086	72064
20	11611	71330
21	12158	70741
22	12657	69891
23	13111	68834
24	13496	67481
25	13884	66218
26	14358	65409
27	14843	64676
28	15243	63602
29	15774	63099
30	16202	62195
31	16790	61913
32	17220	61053
33	17732	60498
34	18164	59683
35	18568	58801
36	19142	58461
37	19674	57988
38	20209	57519
39	20707	56946
40	21182	56314
41	21743	55912
42	22204	55252
43	22732	54765
44	23184	54097
45	23654	53479
46	24116	52852
47	24626	52330
48	25047	51629
49	25606	51213
50	26141	50745
51	26592	50117
52	27079	49560
53	27490	48871
54	28007	48377
55	28446	47750
56	29036	47375
57	29489	46776
58	29954	46201
59	30491	45737
60	30943	45146
61	31357	44506
62	31838	43967
63	32346	43465
64	32869	42983
65	33323	42411
66	33694	41741
67	34094	41114
68	34654	40681
69	35241	40276
70	35647	39664
71	36136	39148
72	36629	38636
73	37023	38024
74	37566	37566
75	38073	37071
76	38545	36543
77	38981	35982
78	39475	35477
79	39901	34913
80	40388	34405
81	40731	33777
82	41180	33241
83	41733	32790
84	42278	32330
85	42850	31888
86	43244	31314
87	43766	30835
88	44258	30334
89	44732	29821
90	45153	29275
91	45589	28741
92	45979	28181
93	46478	27689
94	47041	27234
95	47442	26686
96	47865	26153
97	48312	25635
98	48725	25100
99	49211	24605
100	49726	24124
101	50165	23607
102	50699	23134
103	51196	22644
104	51632	22128
105	52037	21600
106	52537	21113
107	53133	20663
108	53604	20163
109	53980	19629
110	54425	19122
111	54870	18616
112	55285	18102
113	55714	17594
114	56214	17108
115	56662	16607
116	57045	16089
117	57435	15575
118	57927	15090
119	58396	14599
120	58780	14087
121	59266	13602
122	59789	13124
123	60143	12610
124	60563	12112
125	61003	11619
126	61356	11111
127	61804	10622
128	62265	10136
129	62717	9648
130	63139	9157
131	63611	8674
132	64086	8191
133	64536	7705
134	64918	7213
135	65431	6735
136	65886	6252
137	66303	5765
138	66749	5282
139	67099	4792
140	67525	4310
141	68033	3832
142	68511	3353
143	68935	2872
144	69381	2392
145	69845	1913
146	70295	1434
147	70862	957
148	71322	478
149	71769	0
